issue_date,created_at,amount_due,county,fine_amount,interest_amount,issuing_agency,judgment_entry_date,license_type,payment_amount,penalty_amount,plate,precinct,reduction_amount,state,summons_number,violation,violation_status,violation_time
2025-04-04T08:00:00.000000-0400,2025-04-13T01:37:10.137000-0400,0.0,QN,50.0,0.24,DEPARTMENT OF TRANSPORTATION,,PAS,75.17,25.0,KJW5076,0,0.07,NY,4942911606,PHTO SCHOOL ZN SPEED VIOLATION,,11:31P
2024-08-23T08:00:00.000000-0400,2024-09-01T01:42:06.376000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,Z63SYF,0,0.0,NJ,4914087972,PHTO SCHOOL ZN SPEED VIOLATION,,07:19A
2023-06-05T08:00:00.000000-0400,2023-06-18T01:50:27.514000-0400,90.12,QN,50.0,15.12,DEPARTMENT OF TRANSPORTATION,2023-08-31T04:00:00.000000-0400,MOT,0.0,25.0,898BC1,0,0.0,NY,4845196645,PHTO SCHOOL ZN SPEED VIOLATION,,12:04P
2024-12-26T10:00:00.000000-0500,2025-01-05T02:43:44.988000-0500,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,BVY8298,0,0.0,NY,4931405710,PHTO SCHOOL ZN SPEED VIOLATION,,06:37P
2023-06-16T08:00:00.000000-0400,2023-06-25T01:41:42.981000-0400,0.0,MN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,Y94RTJ,0,0.0,NJ,4846358136,PHTO SCHOOL ZN SPEED VIOLATION,,05:12P
2024-09-22T08:00:00.000000-0400,2024-09-29T01:37:25.774000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,FRY2753,0,0.0,NY,4917954411,PHTO SCHOOL ZN SPEED VIOLATION,,08:23P
2023-02-17T10:00:00.000000-0500,2023-02-26T02:38:08.590000-0500,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,75.0,25.0,JBB9986,0,0.0,NY,4827529127,PHTO SCHOOL ZN SPEED VIOLATION,,09:38P
2024-09-18T08:00:00.000000-0400,2024-09-29T01:37:25.774000-0400,0.0,BX,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,KFL4273,0,0.0,NY,4918380220,PHTO SCHOOL ZN SPEED VIOLATION,,02:40P
2025-10-09T08:00:00.000000-0400,2025-10-19T01:37:59.655000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,M33VPV,0,0.0,NJ,4967834346,PHTO SCHOOL ZN SPEED VIOLATION,,10:15A
2025-05-21T08:00:00.000000-0400,2025-06-01T01:44:17.339000-0400,0.0,BX,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,75.0,25.0,HBN3680,0,0.0,NY,4948355422,PHTO SCHOOL ZN SPEED VIOLATION,,05:27P
2025-10-02T08:00:00.000000-0400,2025-10-12T01:38:36.049000-0400,75.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,0.0,25.0,BTR8721,0,0.0,TN,4967134816,PHTO SCHOOL ZN SPEED VIOLATION,,11:57A
2025-10-03T08:00:00.000000-0400,2025-10-12T01:38:36.049000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,GDP5930,0,0.0,NY,4967340441,PHTO SCHOOL ZN SPEED VIOLATION,,09:40A
2024-08-31T08:00:00.000000-0400,2024-09-16T16:39:46.717000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,LJY5517,0,0.0,NY,4915413202,PHTO SCHOOL ZN SPEED VIOLATION,,11:26A
2024-07-26T08:00:00.000000-0400,2024-08-04T01:37:19.612000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,LEJ4508,0,0.0,NY,4909382215,PHTO SCHOOL ZN SPEED VIOLATION,,12:55P
2025-04-05T08:00:00.000000-0400,2025-04-13T01:37:10.137000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,KVJ5008,0,0.0,NY,4942704534,PHTO SCHOOL ZN SPEED VIOLATION,,06:34P
2023-08-14T08:00:00.000000-0400,2023-08-30T14:45:46.149000-0400,88.82,BK,50.0,13.82,DEPARTMENT OF TRANSPORTATION,2023-11-09T05:00:00.000000-0500,PAS,0.0,25.0,CJI6176,0,0.0,GA,4857938704,PHTO SCHOOL ZN SPEED VIOLATION,,11:42P
2023-01-05T10:00:00.000000-0500,2023-01-17T17:43:13.848000-0500,0.0,ST,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,75.0,25.0,KXP9935,0,0.0,NY,4821142934,PHTO SCHOOL ZN SPEED VIOLATION,,06:20P
2023-02-25T10:00:00.000000-0500,2023-03-05T02:30:55.429000-0500,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,AZ67382,0,0.0,CT,4828943833,PHTO SCHOOL ZN SPEED VIOLATION,,02:53A
2025-10-11T08:00:00.000000-0400,2025-10-19T01:37:59.655000-0400,75.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,0.0,25.0,KMM3621,0,0.0,NY,4967980892,PHTO SCHOOL ZN SPEED VIOLATION,,12:58A
2025-06-10T08:00:00.000000-0400,2025-06-22T01:38:07.922000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,LJX2803,0,0.0,NY,4951326449,PHTO SCHOOL ZN SPEED VIOLATION,,07:19P
2023-04-27T08:00:00.000000-0400,2023-05-07T01:34:37.749000-0400,0.0,MN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,JRX9987,0,0.0,NY,4838324510,PHTO SCHOOL ZN SPEED VIOLATION,,03:10P
2023-06-02T08:00:00.000000-0400,2023-06-12T13:40:50.941000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,KYJ7004,0,0.0,NY,4844397874,PHTO SCHOOL ZN SPEED VIOLATION,,09:24P
2024-02-23T10:00:00.000000-0500,2024-03-03T02:33:07.153000-0500,84.14,BK,50.0,9.14,DEPARTMENT OF TRANSPORTATION,,PAS,0.0,25.0,B32PPP,0,0.0,NJ,4886548970,PHTO SCHOOL ZN SPEED VIOLATION,,11:01P
2023-01-19T10:00:00.000000-0500,2023-01-29T02:30:39.927000-0500,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,KKT4111,0,0.0,NY,4823332350,PHTO SCHOOL ZN SPEED VIOLATION,,12:11P
2023-09-15T08:00:00.000000-0400,2023-09-24T01:41:39.586000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,LAL5947,0,0.0,NY,4863157460,PHTO SCHOOL ZN SPEED VIOLATION,,02:21P
2023-10-10T08:00:00.000000-0400,2023-10-16T16:18:20.947000-0400,0.0,BK,50.0,0.04,DEPARTMENT OF TRANSPORTATION,2023-12-28T05:00:00.000000-0500,PAS,75.0,25.0,B65RVB,0,0.04,NJ,4867038076,PHTO SCHOOL ZN SPEED VIOLATION,,07:51A
